NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5,Year
Las Vegas Raiders,10,6,0,0.625,399,327,72,5 - 3 - 0,5 - 3 - 0,6 - 2 - 0,0.750,7 - 5 - 0,0.583,3 - 1 - 0,3L,2 - 3 - 0,2001
New York Jets,10,6,0,0.625,308,295,13,3 - 5 - 0,7 - 1 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,2 - 2 - 0,1W,3 - 2 - 0,2001
Miami Dolphins,11,5,0,0.688,344,290,54,7 - 1 - 0,4 - 4 - 0,5 - 3 - 0,0.625,9 - 3 - 0,0.750,2 - 2 - 0,2W,3 - 2 - 0,2001
New England Patriots,11,5,0,0.688,371,272,99,6 - 2 - 0,5 - 3 - 0,6 - 2 - 0,0.750,8 - 4 - 0,0.667,3 - 1 - 0,6W,5 - 0 - 0,2001
Philadelphia Eagles,11,5,0,0.688,343,208,135,4 - 4 - 0,7 - 1 - 0,6 - 2 - 0,0.750,8 - 4 - 0,0.667,3 - 1 - 0,2W,4 - 1 - 0,2001
Green Bay Packers,12,4,0,0.750,390,266,124,7 - 1 - 0,5 - 3 - 0,6 - 2 - 0,0.750,9 - 3 - 0,0.750,3 - 1 - 0,3W,4 - 1 - 0,2001
San Francisco 49ers,12,4,0,0.750,409,282,127,7 - 1 - 0,5 - 3 - 0,6 - 2 - 0,0.750,8 - 4 - 0,0.667,4 - 0 - 0,1W,3 - 2 - 0,2001
Chicago Bears,13,3,0,0.813,338,203,135,7 - 1 - 0,6 - 2 - 0,6 - 2 - 0,0.750,10 - 2 - 0,0.833,3 - 1 - 0,4W,4 - 1 - 0,2001
Pittsburgh Steelers,13,3,0,0.813,352,212,140,7 - 1 - 0,6 - 2 - 0,7 - 3 - 0,0.700,10 - 3 - 0,0.769,3 - 0 - 0,1W,4 - 1 - 0,2001
Los Angeles Rams,14,2,0,0.875,503,273,230,6 - 2 - 0,8 - 0 - 0,7 - 1 - 0,0.875,10 - 2 - 0,0.833,4 - 0 - 0,6W,5 - 0 - 0,2001
