NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5,Year
Carolina Panthers,1,15,0,0.063,253,410,-157,0 - 8 - 0,1 - 7 - 0,0 - 8 - 0,0.000,1 - 11 - 0,0.083,0 - 4 - 0,15L,0 - 5 - 0,2001
Detroit Lions,2,14,0,0.125,270,424,-154,2 - 6 - 0,0 - 8 - 0,1 - 7 - 0,0.125,2 - 10 - 0,0.167,0 - 4 - 0,1W,2 - 3 - 0,2001
Buffalo Bills,3,13,0,0.188,265,420,-155,1 - 7 - 0,2 - 6 - 0,1 - 7 - 0,0.125,2 - 10 - 0,0.167,1 - 3 - 0,1L,2 - 3 - 0,2001
Dallas Cowboys,5,11,0,0.313,246,338,-92,4 - 4 - 0,1 - 7 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,0 - 4 - 0,1L,2 - 3 - 0,2001
Los Angeles Chargers,5,11,0,0.313,332,321,11,4 - 4 - 0,1 - 7 - 0,1 - 7 - 0,0.125,3 - 9 - 0,0.250,2 - 2 - 0,9L,0 - 5 - 0,2001
Minnesota Vikings,5,11,0,0.313,290,390,-100,5 - 3 - 0,0 - 8 - 0,3 - 5 - 0,0.375,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0,2001
Cincinnati Bengals,6,10,0,0.375,226,309,-83,4 - 4 - 0,2 - 6 - 0,4 - 6 - 0,0.400,5 - 8 - 0,0.385,1 - 2 - 0,2W,2 - 3 - 0,2001
Indianapolis Colts,6,10,0,0.375,413,486,-73,3 - 5 - 0,3 - 5 - 0,3 - 5 - 0,0.375,5 - 7 - 0,0.417,1 - 3 - 0,1W,2 - 3 - 0,2001
Jacksonville Jaguars,6,10,0,0.375,294,286,8,3 - 5 - 0,3 - 5 - 0,5 - 5 - 0,0.500,5 - 8 - 0,0.385,1 - 2 - 0,2L,3 - 2 - 0,2001
Kansas City Chiefs,6,10,0,0.375,320,344,-24,3 - 5 - 0,3 - 5 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1L,3 - 2 - 0,2001
Arizona Cardinals,7,9,0,0.438,295,343,-48,3 - 5 - 0,4 - 4 - 0,2 - 6 - 0,0.250,4 - 8 - 0,0.333,3 - 1 - 0,1L,2 - 3 - 0,2001
Atlanta Falcons,7,9,0,0.438,291,377,-86,3 - 5 - 0,4 - 4 - 0,3 - 5 - 0,0.375,6 - 6 - 0,0.500,1 - 3 - 0,2L,1 - 4 - 0,2001
Cleveland Browns,7,9,0,0.438,285,319,-34,4 - 4 - 0,3 - 5 - 0,5 - 5 - 0,0.500,6 - 7 - 0,0.462,1 - 2 - 0,1L,1 - 4 - 0,2001
New Orleans Saints,7,9,0,0.438,333,409,-76,3 - 5 - 0,4 - 4 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,4L,1 - 4 - 0,2001
New York Giants,7,9,0,0.438,294,321,-27,5 - 3 - 0,2 - 6 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,2L,2 - 3 - 0,2001
Tennessee Titans,7,9,0,0.438,336,388,-52,3 - 5 - 0,4 - 4 - 0,3 - 7 - 0,0.300,4 - 8 - 0,0.333,3 - 1 - 0,2L,2 - 3 - 0,2001
Denver Broncos,8,8,0,0.500,340,339,1,6 - 2 - 0,2 - 6 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,1L,2 - 3 - 0,2001
Washington Commanders,8,8,0,0.500,256,303,-47,4 - 4 - 0,4 - 4 - 0,4 - 4 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,2W,3 - 2 - 0,2001
Seattle Seahawks,9,7,0,0.563,301,324,-23,6 - 2 - 0,3 - 5 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,1 - 3 - 0,2W,3 - 2 - 0,2001
Tampa Bay Buccaneers,9,7,0,0.563,324,280,44,5 - 3 - 0,4 - 4 - 0,4 - 4 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0,2001
Baltimore Ravens,10,6,0,0.625,303,265,38,6 - 2 - 0,4 - 4 - 0,6 - 4 - 0,0.600,8 - 4 - 0,0.667,2 - 2 - 0,1W,3 - 2 - 0,2001
