NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5,Year
Houston Texans,2,14,0,0.125,260,431,-171,2 - 6 - 0,0 - 8 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,1 - 3 - 0,2L,1 - 4 - 0,2005
New Orleans Saints,3,13,0,0.188,235,398,-163,1 - 7 - 0,2 - 6 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,2 - 2 - 0,5L,0 - 5 - 0,2005
Green Bay Packers,4,12,0,0.250,298,344,-46,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,0 - 4 - 0,1W,2 - 3 - 0,2005
Las Vegas Raiders,4,12,0,0.250,290,383,-93,2 - 6 - 0,2 - 6 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,2 - 2 - 0,6L,0 - 5 - 0,2005
New York Jets,4,12,0,0.250,240,355,-115,4 - 4 - 0,0 - 8 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,1W,2 - 3 - 0,2005
San Francisco 49ers,4,12,0,0.250,239,428,-189,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,2W,2 - 3 - 0,2005
Tennessee Titans,4,12,0,0.250,299,421,-122,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,3L,1 - 4 - 0,2005
Arizona Cardinals,5,11,0,0.313,311,387,-76,3 - 5 - 0,2 - 6 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,1 - 3 - 0,1L,2 - 3 - 0,2005
Buffalo Bills,5,11,0,0.313,271,367,-96,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,1L,1 - 4 - 0,2005
Detroit Lions,5,11,0,0.313,254,345,-91,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,1L,1 - 4 - 0,2005
Baltimore Ravens,6,10,0,0.375,265,299,-34,6 - 2 - 0,0 - 8 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1L,3 - 2 - 0,2005
Cleveland Browns,6,10,0,0.375,232,301,-69,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0,2005
Los Angeles Rams,6,10,0,0.375,363,429,-66,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,3 - 1 - 0,1W,1 - 4 - 0,2005
Philadelphia Eagles,6,10,0,0.375,310,388,-78,4 - 4 - 0,2 - 6 - 0,0 - 6 - 0,0.000,3 - 9 - 0,0.250,3 - 1 - 0,2L,1 - 4 - 0,2005
Atlanta Falcons,8,8,0,0.500,351,341,10,4 - 4 - 0,4 - 4 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,3L,1 - 4 - 0,2005
Dallas Cowboys,9,7,0,0.563,325,308,17,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0,2005
Los Angeles Chargers,9,7,0,0.563,418,312,106,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,2L,2 - 3 - 0,2005
Miami Dolphins,9,7,0,0.563,318,317,1,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,6W,5 - 0 - 0,2005
Minnesota Vikings,9,7,0,0.563,306,344,-38,6 - 2 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,3 - 2 - 0,2005
Kansas City Chiefs,10,6,0,0.625,403,325,78,7 - 1 - 0,3 - 5 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,1 - 3 - 0,2W,3 - 2 - 0,2005
New England Patriots,10,6,0,0.625,379,338,41,5 - 3 - 0,5 - 3 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,3 - 1 - 0,1L,4 - 1 - 0,2005
Washington Commanders,10,6,0,0.625,359,293,66,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,0 - 4 - 0,5W,5 - 0 - 0,2005
Carolina Panthers,11,5,0,0.688,391,259,132,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1W,3 - 2 - 0,2005
Chicago Bears,11,5,0,0.688,260,202,58,7 - 1 - 0,4 - 4 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,1 - 3 - 0,1L,3 - 2 - 0,2005
Cincinnati Bengals,11,5,0,0.688,421,350,71,5 - 3 - 0,6 - 2 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,4 - 0 - 0,2L,3 - 2 - 0,2005
New York Giants,11,5,0,0.688,422,314,108,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1W,4 - 1 - 0,2005
Pittsburgh Steelers,11,5,0,0.688,389,258,131,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,4W,4 - 1 - 0,2005
Tampa Bay Buccaneers,11,5,0,0.688,300,274,26,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,2 - 2 - 0,2W,4 - 1 - 0,2005
Jacksonville Jaguars,12,4,0,0.750,361,269,92,6 - 2 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,3W,4 - 1 - 0,2005
Denver Broncos,13,3,0,0.813,395,258,137,8 - 0 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,4W,4 - 1 - 0,2005
Seattle Seahawks,13,3,0,0.813,452,271,181,8 - 0 - 0,5 - 3 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,3 - 1 - 0,1L,4 - 1 - 0,2005
Indianapolis Colts,14,2,0,0.875,439,247,192,7 - 1 - 0,7 - 1 - 0,6 - 0 - 0,1.000,11 - 1 - 0,0.917,3 - 1 - 0,1W,3 - 2 - 0,2005
