NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5,Year
Houston Texans,2,14,0,0.125,276,428,-152,1 - 7 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,0 - 4 - 0,14L,0 - 5 - 0,2013
Washington Commanders,3,13,0,0.188,334,478,-144,2 - 6 - 0,1 - 7 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,2 - 2 - 0,8L,0 - 5 - 0,2013
Atlanta Falcons,4,12,0,0.250,353,443,-90,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,2L,2 - 3 - 0,2013
Cleveland Browns,4,12,0,0.250,308,406,-98,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,7L,0 - 5 - 0,2013
Jacksonville Jaguars,4,12,0,0.250,247,449,-202,1 - 7 - 0,3 - 5 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,0 - 4 - 0,3L,2 - 3 - 0,2013
Las Vegas Raiders,4,12,0,0.250,322,453,-131,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,0 - 4 - 0,6L,0 - 5 - 0,2013
Tampa Bay Buccaneers,4,12,0,0.250,288,389,-101,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,3L,1 - 4 - 0,2013
Minnesota Vikings,5,10,1,0.344,391,480,-89,5 - 3 - 0,0 - 7 - 1,2 - 3 - 1,0.417,4 - 7 - 1,0.375,1 - 3 - 0,1W,3 - 2 - 0,2013
Buffalo Bills,6,10,0,0.375,339,388,-49,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1L,2 - 3 - 0,2013
Detroit Lions,7,9,0,0.438,395,376,19,4 - 4 - 0,3 - 5 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,1 - 3 - 0,4L,1 - 4 - 0,2013
Los Angeles Rams,7,9,0,0.438,348,364,-16,5 - 3 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,3 - 1 - 0,1L,2 - 3 - 0,2013
New York Giants,7,9,0,0.438,294,383,-89,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,2W,3 - 2 - 0,2013
Tennessee Titans,7,9,0,0.438,362,381,-19,3 - 5 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 3 - 0,2W,2 - 3 - 0,2013
Baltimore Ravens,8,8,0,0.500,320,352,-32,6 - 2 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,2L,3 - 2 - 0,2013
Chicago Bears,8,8,0,0.500,445,478,-33,5 - 3 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,4 - 0 - 0,2L,2 - 3 - 0,2013
Dallas Cowboys,8,8,0,0.500,439,432,7,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,1L,2 - 3 - 0,2013
Green Bay Packers,8,7,1,0.531,417,428,-11,4 - 3 - 1,4 - 4 - 0,3 - 2 - 1,0.583,6 - 5 - 1,0.542,2 - 2 - 0,1W,3 - 2 - 0,2013
Miami Dolphins,8,8,0,0.500,317,335,-18,4 - 4 - 0,4 - 4 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,1 - 3 - 0,2L,3 - 2 - 0,2013
New York Jets,8,8,0,0.500,290,387,-97,6 - 2 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,2W,3 - 2 - 0,2013
Pittsburgh Steelers,8,8,0,0.500,379,370,9,5 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,2 - 2 - 0,3W,3 - 2 - 0,2013
Los Angeles Chargers,9,7,0,0.563,396,348,48,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,3 - 1 - 0,4W,4 - 1 - 0,2013
Arizona Cardinals,10,6,0,0.625,379,324,55,6 - 2 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,4 - 0 - 0,1L,3 - 2 - 0,2013
Philadelphia Eagles,10,6,0,0.625,442,382,60,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,1 - 3 - 0,2W,4 - 1 - 0,2013
Cincinnati Bengals,11,5,0,0.688,430,305,125,8 - 0 - 0,3 - 5 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,3 - 1 - 0,2W,4 - 1 - 0,2013
