NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5,Year
Arizona Cardinals,3,13,0,0.188,225,425,-200,1 - 7 - 0,2 - 6 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,0 - 4 - 0,4L,1 - 4 - 0,2018
Las Vegas Raiders,4,12,0,0.250,290,467,-177,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,1L,2 - 3 - 0,2018
New York Jets,4,12,0,0.250,333,441,-108,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,3L,1 - 4 - 0,2018
San Francisco 49ers,4,12,0,0.250,342,435,-93,4 - 4 - 0,0 - 8 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,2L,2 - 3 - 0,2018
Jacksonville Jaguars,5,11,0,0.313,245,316,-71,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,1L,2 - 3 - 0,2018
New York Giants,5,11,0,0.313,369,412,-43,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,3L,2 - 3 - 0,2018
Tampa Bay Buccaneers,5,11,0,0.313,396,464,-68,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0,2018
Buffalo Bills,6,10,0,0.375,269,374,-105,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0,2018
Cincinnati Bengals,6,10,0,0.375,368,455,-87,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,2L,1 - 4 - 0,2018
Denver Broncos,6,10,0,0.375,329,349,-20,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,4L,1 - 4 - 0,2018
Detroit Lions,6,10,0,0.375,324,360,-36,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0,2018
Green Bay Packers,6,9,1,0.406,376,400,-24,5 - 2 - 1,1 - 7 - 0,1 - 4 - 1,0.250,3 - 8 - 1,0.292,3 - 1 - 0,1L,2 - 3 - 0,2018
Atlanta Falcons,7,9,0,0.438,414,423,-9,4 - 4 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,0 - 4 - 0,3W,3 - 2 - 0,2018
Carolina Panthers,7,9,0,0.438,376,382,-6,5 - 3 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,1W,1 - 4 - 0,2018
Cleveland Browns,7,8,1,0.469,359,392,-33,5 - 2 - 1,2 - 6 - 0,3 - 2 - 1,0.583,5 - 6 - 1,0.458,2 - 2 - 0,1L,3 - 2 - 0,2018
Miami Dolphins,7,9,0,0.438,319,433,-114,6 - 2 - 0,1 - 7 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,1 - 3 - 0,3L,2 - 3 - 0,2018
Washington Commanders,7,9,0,0.438,281,359,-78,3 - 5 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 3 - 0,2L,1 - 4 - 0,2018
Minnesota Vikings,8,7,1,0.531,360,341,19,5 - 3 - 0,3 - 4 - 1,3 - 2 - 1,0.583,6 - 5 - 1,0.542,2 - 2 - 0,1L,2 - 3 - 0,2018
Philadelphia Eagles,9,7,0,0.563,367,348,19,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,3 - 1 - 0,3W,4 - 1 - 0,2018
Pittsburgh Steelers,9,6,1,0.594,428,360,68,5 - 3 - 0,4 - 3 - 1,4 - 1 - 1,0.750,6 - 5 - 1,0.542,3 - 1 - 0,1W,2 - 3 - 0,2018
Tennessee Titans,9,7,0,0.563,310,303,7,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,4 - 0 - 0,1L,4 - 1 - 0,2018
Baltimore Ravens,10,6,0,0.625,389,287,102,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,2 - 2 - 0,3W,4 - 1 - 0,2018
Dallas Cowboys,10,6,0,0.625,339,324,15,7 - 1 - 0,3 - 5 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,1 - 3 - 0,2W,4 - 1 - 0,2018
Indianapolis Colts,10,6,0,0.625,433,344,89,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,4W,4 - 1 - 0,2018
