,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
15,Denver Broncos,8,8,0,0.500,309,390,-81,3 - 5 - 0,5 - 3 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,3L,2 - 3 - 0
16,Las Vegas Raiders,8,8,0,0.500,359,433,-74,3 - 5 - 0,5 - 3 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,1L,1 - 4 - 0
17,Los Angeles Chargers,8,8,0,0.500,406,377,29,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 3 - 0,1W,4 - 1 - 0
18,New York Jets,8,8,0,0.500,377,363,14,6 - 2 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,3L,2 - 3 - 0
19,Philadelphia Eagles,8,8,0,0.500,396,328,68,3 - 5 - 0,5 - 3 - 0,5 - 1 - 0,0.833,6 - 6 - 0,0.500,2 - 2 - 0,4W,4 - 1 - 0
20,Cincinnati Bengals,9,7,0,0.563,344,323,21,4 - 4 - 0,5 - 3 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,3 - 1 - 0,1L,2 - 3 - 0
21,New York Giants,9,7,0,0.563,394,400,-6,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,4 - 0 - 0,2W,3 - 2 - 0
22,Tennessee Titans,9,7,0,0.563,325,317,8,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,2W,3 - 2 - 0
23,Atlanta Falcons,10,6,0,0.625,402,350,52,6 - 2 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,1W,3 - 2 - 0
24,Detroit Lions,10,6,0,0.625,474,387,87,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,4 - 0 - 0,1L,3 - 2 - 0
25,Houston Texans,10,6,0,0.625,381,278,103,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,3L,2 - 3 - 0
26,Baltimore Ravens,12,4,0,0.750,378,266,112,8 - 0 - 0,4 - 4 - 0,6 - 0 - 0,1.000,9 - 3 - 0,0.750,3 - 1 - 0,2W,4 - 1 - 0
27,Pittsburgh Steelers,12,4,0,0.750,325,227,98,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,2W,4 - 1 - 0
28,New England Patriots,13,3,0,0.813,513,342,171,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,8W,5 - 0 - 0
29,New Orleans Saints,13,3,0,0.813,547,339,208,8 - 0 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,4 - 0 - 0,8W,5 - 0 - 0
30,San Francisco 49ers,13,3,0,0.813,380,229,151,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,3W,4 - 1 - 0
31,Green Bay Packers,15,1,0,0.938,560,359,201,8 - 0 - 0,7 - 1 - 0,6 - 0 - 0,1.000,12 - 0 - 0,1.000,3 - 1 - 0,2W,4 - 1 - 0
