NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5,Year
Washington Commanders,7,9,0,0.438,342,388,-46,5 - 3 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,2 - 2 - 0,1L,2 - 3 - 0,2017
Arizona Cardinals,8,8,0,0.500,295,361,-66,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,2W,3 - 2 - 0,2017
Baltimore Ravens,9,7,0,0.563,395,303,92,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0,2017
Buffalo Bills,9,7,0,0.563,302,359,-57,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0,2017
Dallas Cowboys,9,7,0,0.563,354,332,22,3 - 5 - 0,6 - 2 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,1W,4 - 1 - 0,2017
Detroit Lions,9,7,0,0.563,410,376,34,4 - 4 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,3 - 2 - 0,2017
Los Angeles Chargers,9,7,0,0.563,355,272,83,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,3 - 1 - 0,2W,4 - 1 - 0,2017
Seattle Seahawks,9,7,0,0.563,366,332,34,4 - 4 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0,2017
Tennessee Titans,9,7,0,0.563,334,356,-22,6 - 2 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,2 - 3 - 0,2017
Atlanta Falcons,10,6,0,0.625,353,315,38,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,1 - 3 - 0,1W,3 - 2 - 0,2017
Jacksonville Jaguars,10,6,0,0.625,417,268,149,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,1 - 3 - 0,2L,3 - 2 - 0,2017
Kansas City Chiefs,10,6,0,0.625,415,339,76,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,4W,4 - 1 - 0,2017
Carolina Panthers,11,5,0,0.688,363,327,36,6 - 2 - 0,5 - 3 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,4 - 0 - 0,1L,3 - 2 - 0,2017
Los Angeles Rams,11,5,0,0.688,478,329,149,4 - 4 - 0,7 - 1 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,1L,3 - 2 - 0,2017
New Orleans Saints,11,5,0,0.688,448,326,122,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1L,3 - 2 - 0,2017
Minnesota Vikings,13,3,0,0.813,382,252,130,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,3W,4 - 1 - 0,2017
New England Patriots,13,3,0,0.813,458,296,162,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,3W,4 - 1 - 0,2017
Philadelphia Eagles,13,3,0,0.813,457,295,162,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,1L,3 - 2 - 0,2017
Pittsburgh Steelers,13,3,0,0.813,406,308,98,6 - 2 - 0,7 - 1 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,3 - 1 - 0,2W,4 - 1 - 0,2017
