NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5,Year
Cleveland Browns,0,16,0,0.000,234,410,-176,0 - 8 - 0,0 - 8 - 0,0 - 6 - 0,0.000,0 - 12 - 0,0.000,0 - 4 - 0,16L,0 - 5 - 0,2017
New York Giants,3,13,0,0.188,246,388,-142,2 - 6 - 0,1 - 7 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,2 - 2 - 0,1W,1 - 4 - 0,2017
Houston Texans,4,12,0,0.250,338,436,-98,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,6L,0 - 5 - 0,2017
Indianapolis Colts,4,12,0,0.250,263,404,-141,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,1W,1 - 4 - 0,2017
Chicago Bears,5,11,0,0.313,264,320,-56,3 - 5 - 0,2 - 6 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,4 - 0 - 0,1L,2 - 3 - 0,2017
Denver Broncos,5,11,0,0.313,289,382,-93,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2L,2 - 3 - 0,2017
New York Jets,5,11,0,0.313,298,382,-84,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,4L,1 - 4 - 0,2017
Tampa Bay Buccaneers,5,11,0,0.313,335,382,-47,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,1W,1 - 4 - 0,2017
Las Vegas Raiders,6,10,0,0.375,301,373,-72,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,4L,1 - 4 - 0,2017
Miami Dolphins,6,10,0,0.375,281,393,-112,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,3L,2 - 3 - 0,2017
San Francisco 49ers,6,10,0,0.375,331,383,-52,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,3 - 1 - 0,5W,5 - 0 - 0,2017
Cincinnati Bengals,7,9,0,0.438,290,349,-59,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,2W,2 - 3 - 0,2017
Green Bay Packers,7,9,0,0.438,320,384,-64,4 - 4 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,3L,2 - 3 - 0,2017
