,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
0,Carolina Panthers,2,14,0,0.125,196,408,-212,2 - 6 - 0,0 - 8 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,0 - 4 - 0,2L,1 - 4 - 0
1,Buffalo Bills,4,12,0,0.250,283,425,-142,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,2L,2 - 3 - 0
2,Cincinnati Bengals,4,12,0,0.250,322,395,-73,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,1L,2 - 3 - 0
3,Denver Broncos,4,12,0,0.250,344,471,-127,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,1L,1 - 4 - 0
4,Arizona Cardinals,5,11,0,0.313,289,434,-145,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,1L,2 - 3 - 0
5,Cleveland Browns,5,11,0,0.313,271,332,-61,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,4L,1 - 4 - 0
6,Dallas Cowboys,6,10,0,0.375,394,436,-42,2 - 6 - 0,4 - 4 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,2 - 2 - 0,1W,3 - 2 - 0
7,Detroit Lions,6,10,0,0.375,362,369,-7,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,4W,4 - 1 - 0
8,Houston Texans,6,10,0,0.375,390,427,-37,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1W,1 - 4 - 0
9,Minnesota Vikings,6,10,0,0.375,281,348,-67,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,1 - 3 - 0,1L,2 - 3 - 0
10,San Francisco 49ers,6,10,0,0.375,305,346,-41,5 - 3 - 0,1 - 7 - 0,4 - 2 - 0,0.667,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0
11,Tennessee Titans,6,10,0,0.375,356,339,17,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,3 - 1 - 0,2L,1 - 4 - 0
12,Washington Commanders,6,10,0,0.375,302,377,-75,2 - 6 - 0,4 - 4 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1L,1 - 4 - 0
13,Los Angeles Rams,7,9,0,0.438,289,328,-39,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,1L,2 - 3 - 0
14,Miami Dolphins,7,9,0,0.438,273,333,-60,1 - 7 - 0,6 - 2 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,3L,1 - 4 - 0
15,Seattle Seahawks,7,9,0,0.438,310,407,-97,5 - 3 - 0,2 - 6 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,1 - 3 - 0,1W,2 - 3 - 0
16,Jacksonville Jaguars,8,8,0,0.500,353,419,-66,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 3 - 0,3L,2 - 3 - 0
17,Las Vegas Raiders,8,8,0,0.500,410,371,39,5 - 3 - 0,3 - 5 - 0,6 - 0 - 0,1.000,6 - 6 - 0,0.500,2 - 2 - 0,1W,3 - 2 - 0
18,Los Angeles Chargers,9,7,0,0.563,441,322,119,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
19,Green Bay Packers,10,6,0,0.625,388,240,148,7 - 1 - 0,3 - 5 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,2W,3 - 2 - 0
20,Indianapolis Colts,10,6,0,0.625,435,388,47,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,4W,4 - 1 - 0
21,Kansas City Chiefs,10,6,0,0.625,366,326,40,7 - 1 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,4 - 0 - 0,1L,3 - 2 - 0
22,New York Giants,10,6,0,0.625,394,347,47,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,2 - 2 - 0,1W,3 - 2 - 0
23,Philadelphia Eagles,10,6,0,0.625,439,377,62,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,2L,3 - 2 - 0
24,Tampa Bay Buccaneers,10,6,0,0.625,341,318,23,4 - 4 - 0,6 - 2 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,2 - 2 - 0,2W,3 - 2 - 0
25,Chicago Bears,11,5,0,0.688,334,286,48,5 - 3 - 0,6 - 2 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 1 - 0,1L,3 - 2 - 0
26,New Orleans Saints,11,5,0,0.688,384,307,77,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,1L,3 - 2 - 0
27,New York Jets,11,5,0,0.688,367,304,63,5 - 3 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,1W,2 - 3 - 0
28,Baltimore Ravens,12,4,0,0.750,357,270,87,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 1 - 0,4W,4 - 1 - 0
29,Pittsburgh Steelers,12,4,0,0.750,375,232,143,5 - 3 - 0,7 - 1 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,2W,4 - 1 - 0
30,Atlanta Falcons,13,3,0,0.813,414,288,126,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,1W,4 - 1 - 0
31,New England Patriots,14,2,0,0.875,518,313,205,8 - 0 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,4 - 0 - 0,8W,5 - 0 - 0
