,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
0,Arizona Cardinals,4,12,0,0.250,225,452,-227,4 - 4 - 0,0 - 8 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,1W,1 - 4 - 0
1,Las Vegas Raiders,4,12,0,0.250,270,379,-109,4 - 4 - 0,0 - 8 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,2L,1 - 4 - 0
2,Los Angeles Chargers,4,12,0,0.250,313,441,-128,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,1W,2 - 3 - 0
3,New York Giants,4,12,0,0.250,243,387,-144,1 - 7 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,8L,0 - 5 - 0
4,Atlanta Falcons,5,11,0,0.313,299,422,-123,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2W,3 - 2 - 0
5,Cleveland Browns,5,11,0,0.313,254,322,-68,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,2 - 2 - 0,1W,1 - 4 - 0
6,Detroit Lions,5,11,0,0.313,270,379,-109,5 - 3 - 0,0 - 8 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,1W,2 - 3 - 0
7,Houston Texans,5,11,0,0.313,255,380,-125,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,4L,1 - 4 - 0
8,Jacksonville Jaguars,5,11,0,0.313,276,331,-55,5 - 3 - 0,0 - 8 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,2 - 2 - 0,1L,3 - 2 - 0
9,Washington Commanders,5,11,0,0.313,287,372,-85,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,3L,1 - 4 - 0
10,Buffalo Bills,6,10,0,0.375,243,279,-36,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,3L,2 - 3 - 0
11,New York Jets,6,10,0,0.375,283,299,-16,4 - 4 - 0,2 - 6 - 0,1 - 5 - 0,0.167,6 - 6 - 0,0.500,0 - 4 - 0,2L,2 - 3 - 0
12,Pittsburgh Steelers,6,10,0,0.375,300,327,-27,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1L,2 - 3 - 0
13,Chicago Bears,7,9,0,0.438,283,346,-63,6 - 2 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,3 - 1 - 0,1L,3 - 2 - 0
14,San Francisco 49ers,7,9,0,0.438,384,337,47,6 - 2 - 0,1 - 7 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 3 - 0,1L,2 - 3 - 0
15,Tampa Bay Buccaneers,7,9,0,0.438,301,264,37,3 - 5 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 3 - 0,2L,2 - 3 - 0
16,Cincinnati Bengals,8,8,0,0.500,346,384,-38,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,2L,2 - 3 - 0
17,New Orleans Saints,8,8,0,0.500,340,326,14,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 3 - 0,1W,3 - 2 - 0
18,Minnesota Vikings,9,7,0,0.563,416,353,63,6 - 2 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0
19,Baltimore Ravens,10,6,0,0.625,391,281,110,7 - 1 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,2W,4 - 1 - 0
20,Dallas Cowboys,10,6,0,0.625,289,260,29,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,1L,2 - 3 - 0
21,Denver Broncos,10,6,0,0.625,381,301,80,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,1 - 3 - 0,1L,4 - 1 - 0
22,Green Bay Packers,10,6,0,0.625,442,307,135,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,4W,4 - 1 - 0
