,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
19,Indianapolis Colts,10,6,0,0.625,429,326,103,6 - 2 - 0,4 - 4 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,2 - 2 - 0,3W,3 - 2 - 0
20,Los Angeles Rams,10,6,0,0.625,540,471,69,5 - 3 - 0,5 - 3 - 0,5 - 3 - 0,0.625,7 - 5 - 0,0.583,3 - 1 - 0,1W,2 - 3 - 0
21,New Orleans Saints,10,6,0,0.625,354,305,49,3 - 5 - 0,7 - 1 - 0,7 - 1 - 0,0.875,9 - 3 - 0,0.750,1 - 3 - 0,1L,3 - 2 - 0
22,Tampa Bay Buccaneers,10,6,0,0.625,388,269,119,6 - 2 - 0,4 - 4 - 0,4 - 4 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,1L,4 - 1 - 0
23,Denver Broncos,11,5,0,0.688,485,369,116,6 - 2 - 0,5 - 3 - 0,6 - 2 - 0,0.750,8 - 4 - 0,0.667,3 - 1 - 0,1W,4 - 1 - 0
24,Miami Dolphins,11,5,0,0.688,323,226,97,5 - 3 - 0,6 - 2 - 0,5 - 3 - 0,0.625,9 - 3 - 0,0.750,2 - 2 - 0,1W,3 - 2 - 0
25,Minnesota Vikings,11,5,0,0.688,397,371,26,7 - 1 - 0,4 - 4 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,3 - 1 - 0,3L,2 - 3 - 0
26,Philadelphia Eagles,11,5,0,0.688,351,245,106,5 - 3 - 0,6 - 2 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,3 - 1 - 0,2W,4 - 1 - 0
27,Baltimore Ravens,12,4,0,0.750,333,165,168,6 - 2 - 0,6 - 2 - 0,8 - 2 - 0,0.800,10 - 3 - 0,0.769,2 - 1 - 0,7W,5 - 0 - 0
28,Las Vegas Raiders,12,4,0,0.750,479,299,180,7 - 1 - 0,5 - 3 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,4 - 0 - 0,1W,3 - 2 - 0
29,New York Giants,12,4,0,0.750,328,246,82,5 - 3 - 0,7 - 1 - 0,7 - 1 - 0,0.875,9 - 3 - 0,0.750,3 - 1 - 0,5W,5 - 0 - 0
30,Tennessee Titans,13,3,0,0.813,346,191,155,7 - 1 - 0,6 - 2 - 0,8 - 2 - 0,0.800,9 - 3 - 0,0.750,4 - 0 - 0,4W,4 - 1 - 0
